treatment_time,_event_time,mean_outcome
18.0,-17.0,7.638311487978222
18.0,-16.0,7.4801457790208365
18.0,-15.0,7.793508288236026
18.0,-14.0,7.986330754509307
18.0,-13.0,6.7909689305451515
18.0,-12.0,7.876489661183577
18.0,-11.0,9.333582087099686
18.0,-10.0,7.443825126303224
18.0,-9.0,8.429828895346015
18.0,-8.0,8.350758026119296
18.0,-7.0,7.946365692840241
18.0,-6.0,8.569597207606263
18.0,-5.0,9.452504136577877
18.0,-4.0,9.048003706932198
18.0,-3.0,9.8925177764944
18.0,-2.0,8.719240216801415
18.0,-1.0,9.186134277434897
18.0,0.0,8.668461256888017
18.0,1.0,11.643072738139082
18.0,2.0,10.200239921974708
18.0,3.0,11.330742863796592
18.0,4.0,11.198237025738488
18.0,5.0,11.38259571465836
18.0,6.0,11.23865758781569
18.0,7.0,11.828798007735342
18.0,8.0,11.09579536777472
18.0,9.0,10.733147954220206
18.0,10.0,11.934070510279362
18.0,11.0,11.235118868336533
18.0,12.0,11.727737163380567
18.0,13.0,12.213453884414504
18.0,14.0,11.957093100008862
18.0,15.0,12.814425299117476
18.0,16.0,11.561902095377766
18.0,17.0,12.644248328548287
18.0,18.0,11.832661625805036
19.0,-18.0,6.06807879720867
19.0,-17.0,6.488414666319924
19.0,-16.0,7.211374287401114
19.0,-15.0,7.569528055711226
19.0,-14.0,7.2456017327768105
19.0,-13.0,7.640384585304346
19.0,-12.0,6.825849972951212
19.0,-11.0,6.633457322785061
19.0,-10.0,7.94364407134503
19.0,-9.0,7.318000767536203
19.0,-8.0,7.607073360545034
19.0,-7.0,7.31902360120166
19.0,-6.0,8.455843142860212
19.0,-5.0,6.947632985426861
19.0,-4.0,9.1200404620886
19.0,-3.0,8.620094066658982
19.0,-2.0,8.015561314403898
19.0,-1.0,8.864741039275696
19.0,0.0,10.431088276239343
19.0,1.0,11.158084198901973
19.0,2.0,10.862011283251523
19.0,3.0,9.535827616160237
19.0,4.0,10.002497969099121
19.0,5.0,9.18795706376956
19.0,6.0,11.077110120548898
19.0,7.0,10.348116393248809
19.0,8.0,11.669632727181968
19.0,9.0,11.269788537493628
19.0,10.0,11.882337102295175
19.0,11.0,11.03878499829069
19.0,12.0,11.443155278840543
19.0,13.0,11.231603700839244
19.0,14.0,10.88570448923784
19.0,15.0,11.205053883717836
19.0,16.0,10.603386783460017
19.0,17.0,12.553000480847555
20.0,-19.0,7.39954514282368
20.0,-18.0,7.195336953292955
20.0,-17.0,7.027600704910036
20.0,-16.0,6.448900597179806
20.0,-15.0,7.192996481596966
20.0,-14.0,8.100466173184948
20.0,-13.0,8.818871948459464
20.0,-12.0,8.138022546047877
20.0,-11.0,8.85859583734411
20.0,-10.0,9.714129285361675
20.0,-9.0,8.70641959136633
20.0,-8.0,7.117955143413974
20.0,-7.0,8.164706133616583
20.0,-6.0,7.621817898970379
20.0,-5.0,8.274414462280495
20.0,-4.0,8.825334738900775
20.0,-3.0,9.554433841356053
20.0,-2.0,8.694604459155672
20.0,-1.0,9.228712955147987
20.0,0.0,9.61891562217534
20.0,1.0,10.388862676720297
20.0,2.0,10.784419971917131
20.0,3.0,11.126031021562653
20.0,4.0,11.968939608276553
20.0,5.0,11.407519750697638
20.0,6.0,10.904048531845271
20.0,7.0,11.460914290137904
20.0,8.0,10.313103483600468
20.0,9.0,11.875084591865544
20.0,10.0,12.006804137296118
20.0,11.0,11.69019927188864
20.0,12.0,11.348285434588641
20.0,13.0,12.80656754815166
20.0,14.0,12.08702378208914
20.0,15.0,12.193158600660983
20.0,16.0,13.052211607743715
21.0,-20.0,6.29196114192297
21.0,-19.0,7.114054270770344
21.0,-18.0,7.744114030221981
21.0,-17.0,6.8057446177015635
21.0,-16.0,7.524099059473356
21.0,-15.0,8.27380490097727
21.0,-14.0,7.736160317761848
21.0,-13.0,6.750762034880761
21.0,-12.0,8.082557832425444
21.0,-11.0,7.473744166694866
21.0,-10.0,7.592413925079389
21.0,-9.0,9.539293029368633
21.0,-8.0,9.347779316284129
21.0,-7.0,9.668878527024837
21.0,-6.0,9.74587064989697
21.0,-5.0,8.77345465290816
21.0,-4.0,8.809225871683548
21.0,-3.0,8.797786430437792
21.0,-2.0,10.446048725698034
21.0,-1.0,10.67721395388101
21.0,0.0,9.830765281336049
21.0,1.0,11.381125764570001
21.0,2.0,10.731809092444854
21.0,3.0,11.55254843470962
21.0,4.0,10.949517568277724
21.0,5.0,10.902123594348236
21.0,6.0,10.984002920209953
21.0,7.0,11.453909825006177
21.0,8.0,12.649500052163265
21.0,9.0,11.055207672742347
21.0,10.0,10.395791444154858
21.0,11.0,11.723641139741666
21.0,12.0,12.505743526936815
21.0,13.0,12.457589273436291
21.0,14.0,13.64172591388197
21.0,15.0,12.043305131844965
