asset_return,date,ewma_volatility
0.233763149235475,2005-01-31,0.45917527263545477
-0.0288988145034342,2005-02-28,0.4452432185094297
0.0006193654776038,2005-03-31,0.43167934306349814
0.3695634562880727,2005-04-30,0.4282065632466234
0.2029051474483442,2005-05-31,0.4181261042923504
-0.1163850400538102,2005-06-30,0.40638947008769216
-0.0804982945490824,2005-07-31,0.3945022887636833
-0.9327584424241318,2005-08-31,0.44552938309858653
0.3188739788392657,2005-09-30,0.43896182316324694
0.1384230426677176,2005-10-31,0.4269378052920553
-0.1054595359339426,2005-11-30,0.4147368310573649
-0.0335645735071341,2005-12-31,0.40218631942056143
-0.1734478036387745,2006-01-31,0.39224183080408603
-0.1419486251662635,2006-02-28,0.3818787757047835
0.4006929992595364,2006-03-31,0.38303369062406695
-0.1146897535378277,2006-04-30,0.3724260249202543
-0.5281164686434854,2006-05-31,0.38355377154028314
0.1646317005761763,2006-06-30,0.3740493306144062
0.461252851455402,2006-07-31,0.379846520594364
-0.1841722604927872,2006-08-31,0.3710276832627012
-0.2822824830874965,2006-09-30,0.3663097777263564
0.681090206781533,2006-10-31,0.3923836314741982
0.7810297815981323,2006-11-30,0.4258256340082643
-0.2681732969255492,2006-12-31,0.41804645360876214
0.1716002415796854,2007-01-31,0.40748480426512046
