equation,term,coefficient,std_error,p_value
return_a,const,-0.003660861269814681,0.0026489815350430367,0.16697531891945094
return_a,L1.return_a,0.5007122642201699,0.06514486593417584,1.5164594391828844e-14
return_a,L1.return_b,0.12260564399741067,0.07267688680993517,0.09160405057367538
return_a,L1.return_c,0.13467579548401887,0.09323063690984226,0.14858589665503255
return_a,L2.return_a,-0.06518668453947832,0.05615756386105585,0.24573059928451668
return_a,L2.return_b,0.028762132684319014,0.05920935608841396,0.6271302015146596
return_a,L2.return_c,-0.007527798855212264,0.07455156563867109,0.9195707901623567
return_b,const,-0.001128283223057132,0.002409764699145924,0.6396322575176547
return_b,L1.return_a,0.1669386640789664,0.059261945084196424,0.004848021864358165
return_b,L1.return_b,0.3478857520813873,0.06611378522710634,1.4255523973224314e-07
return_b,L1.return_c,0.18198721939773482,0.08481142459174558,0.031890007285789335
return_b,L2.return_a,0.006331281416211268,0.051086243219210174,0.9013681686015415
return_b,L2.return_b,-0.0014323712077214112,0.05386244270619376,0.9787842488396273
return_b,L2.return_c,0.05653976118429574,0.06781917078905238,0.4044590466662731
return_c,const,0.0022207010949797288,0.0018480274481222775,0.2294951941925426
return_c,L1.return_a,-0.004094440158256385,0.04544746679355277,0.9282143341011966
return_c,L1.return_b,0.1626764132944426,0.050702083005140335,0.0013344047486342071
return_c,L1.return_c,0.3153993874011553,0.06504113891926817,1.2394217067721515e-06
return_c,L2.return_a,-0.055405462882778034,0.03917759261890242,0.15729935644429482
return_c,L2.return_b,-0.03323017768357686,0.041306635697351955,0.421122395360397
return_c,L2.return_c,0.14911081922593517,0.052009928260415554,0.004144244299142805
